Transmitance,,,,,,,,,,,,,,,,
Time,19/07/2024 15:58:05,19/07/2024 15:58:32,19/07/2024 15:59:06,19/07/2024 15:59:52,19/07/2024 16:00:28,19/07/2024 16:00:56,19/07/2024 16:01:18,19/07/2024 16:01:54,19/07/2024 16:02:34,19/07/2024 16:03:06,19/07/2024 16:04:46,19/07/2024 16:05:07,19/07/2024 16:05:37,19/07/2024 16:06:27,19/07/2024 16:06:59,
Name,,,,,,,,,,,,,,,,
GPS,55° 51.7018' N  -3° 371.9431' W,55° 51.7068' N  -3° 371.9483' W,55° 51.7105' N  -3° 371.9540' W,55° 51.7084' N  -3° 371.9507' W,55° 51.7098' N  -3° 371.9525' W,55° 51.7087' N  -3° 371.9481' W,55° 51.7082' N  -3° 371.9480' W,55° 51.7082' N  -3° 371.9480' W,55° 51.7089' N  -3° 371.9487' W,55° 51.7077' N  -3° 371.9529' W,55° 51.7090' N  -3° 371.9566' W,55° 51.7090' N  -3° 371.9566' W,55° 51.7090' N  -3° 371.9566' W,55° 51.7112' N  -3° 371.9572' W,55° 51.7112' N  -3° 371.9572' W,
[nm],,,,,,,,,,,,,,,,
628.8,7.256393E-002,6.828944E-002,6.642095E-002,6.465484E-002,6.990197E-002,8.203435E-002,9.414113E-002,7.481635E-002,8.999462E-002,6.250480E-002,8.170160E-002,8.310937E-002,7.929561E-002,7.717116E-002,6.480842E-002,
630.8,7.241126E-002,6.833211E-002,6.648256E-002,6.455699E-002,7.000431E-002,8.208974E-002,9.420051E-002,7.471687E-002,8.984266E-002,6.255542E-002,8.176037E-002,8.312853E-002,7.935342E-002,7.727584E-002,6.501305E-002,
632.7,7.248495E-002,6.852939E-002,6.674057E-002,6.462422E-002,7.024262E-002,8.238644E-002,9.447986E-002,7.490363E-002,9.024716E-002,6.268424E-002,8.213449E-002,8.339422E-002,7.969061E-002,7.767504E-002,6.527928E-002,
634.7,7.273276E-002,6.868367E-002,6.682259E-002,6.478547E-002,7.019265E-002,8.228962E-002,9.400936E-002,7.487048E-002,9.023691E-002,6.279865E-002,8.206328E-002,8.327046E-002,7.969921E-002,7.753634E-002,6.533877E-002,
636.7,7.252353E-002,6.827380E-002,6.655368E-002,6.460589E-002,6.981686E-002,8.185774E-002,9.311444E-002,7.449661E-002,8.995244E-002,6.253162E-002,8.157948E-002,8.246484E-002,7.942932E-002,7.715269E-002,6.488414E-002,
638.6,7.224179E-002,6.769796E-002,6.588554E-002,6.422627E-002,6.907643E-002,8.079338E-002,9.146373E-002,7.407975E-002,8.924287E-002,6.220963E-002,8.092102E-002,8.132945E-002,7.872569E-002,7.640272E-002,6.448154E-002,
640.6,7.161852E-002,6.686805E-002,6.508662E-002,6.387318E-002,6.797821E-002,7.969948E-002,8.945860E-002,7.324504E-002,8.819353E-002,6.154958E-002,7.982857E-002,7.964785E-002,7.781478E-002,7.533628E-002,6.364082E-002,
642.5,7.082494E-002,6.569687E-002,6.402240E-002,6.326365E-002,6.674341E-002,7.804610E-002,8.702022E-002,7.260407E-002,8.707255E-002,6.098742E-002,7.828157E-002,7.762748E-002,7.658094E-002,7.406923E-002,6.258340E-002,
644.5,7.017730E-002,6.460346E-002,6.301094E-002,6.258626E-002,6.532010E-002,7.617581E-002,8.419153E-002,7.171674E-002,8.562480E-002,6.022402E-002,7.686591E-002,7.522030E-002,7.506105E-002,7.248646E-002,6.160420E-002,
646.4,6.932082E-002,6.333279E-002,6.184927E-002,6.168744E-002,6.387226E-002,7.436478E-002,8.110805E-002,7.072342E-002,8.407509E-002,5.934078E-002,7.520095E-002,7.277337E-002,7.344770E-002,7.099315E-002,6.033878E-002,
648.4,6.826088E-002,6.217986E-002,6.053634E-002,6.094722E-002,6.239899E-002,7.242447E-002,7.814940E-002,6.960309E-002,8.244994E-002,5.837237E-002,7.360232E-002,7.037007E-002,7.173967E-002,6.927439E-002,5.911195E-002,
650.3,6.747578E-002,6.093419E-002,5.943102E-002,6.029395E-002,6.085068E-002,7.059348E-002,7.515867E-002,6.861708E-002,8.078165E-002,5.751030E-002,7.195747E-002,6.803251E-002,7.006458E-002,6.758713E-002,5.787217E-002,
652.3,6.650851E-002,5.964585E-002,5.823378E-002,5.950465E-002,5.939168E-002,6.865486E-002,7.258042E-002,6.758169E-002,7.935836E-002,5.676523E-002,7.043407E-002,6.585896E-002,6.851365E-002,6.600017E-002,5.679347E-002,
654.2,6.561695E-002,5.851703E-002,5.728600E-002,5.880332E-002,5.811623E-002,6.710564E-002,7.016891E-002,6.670484E-002,7.801317E-002,5.574005E-002,6.890925E-002,6.375608E-002,6.687661E-002,6.472946E-002,5.565417E-002,
656.2,6.504300E-002,5.731082E-002,5.606556E-002,5.806377E-002,5.673163E-002,6.544844E-002,6.759144E-002,6.576699E-002,7.648200E-002,5.493614E-002,6.756248E-002,6.159683E-002,6.553532E-002,6.336335E-002,5.458863E-002,
