Transmitance	
Time	19/07/2024 13:24:42	19/07/2024 13:27:18	19/07/2024 13:29:05	19/07/2024 13:30:07	19/07/2024 13:30:45	19/07/2024 13:32:09	19/07/2024 13:32:32	19/07/2024 13:33:10	19/07/2024 13:33:45	19/07/2024 13:34:03	19/07/2024 13:34:55	19/07/2024 13:35:19	19/07/2024 13:36:01	19/07/2024 13:36:23	19/07/2024 13:36:40	
Name																
GPS		55° 51.7079' N  -3° 371.9505' W	55° 51.7116' N  -3° 371.9566' W	55° 51.7089' N  -3° 371.9482' W	55° 51.7100' N  -3° 371.9536' W	55° 51.7095' N  -3° 371.9475' W	55° 51.7095' N  -3° 371.9475' W	55° 51.7099' N  -3° 371.9528' W	55° 51.7099' N  -3° 371.9528' W	55° 51.7099' N  -3° 371.9528' W	55° 51.7099' N  -3° 371.9528' W	55° 51.7099' N  -3° 371.9528' W	55° 51.7112' N  -3° 371.9574' W	55° 51.7112' N  -3° 371.9574' W	55° 51.7112' N  -3° 371.9574' W	
[nm]	
323.8	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	-1.000000E+000	-5.000000E-001	5.000000E-001	0.000000E+000	0.000000E+000	0.000000E+000	5.000000E-001	0.000000E+000	0.000000E+000	0.000000E+000
325.7	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	-1.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000
327.6	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	1.000000E+000	0.000000E+000	0.000000E+000	-1.000000E+000	0.000000E+000	0.000000E+000	-1.000000E+000	-1.000000E+000
329.5	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	-1.000000E+000	1.000000E+000	0.000000E+000	0.000000E+000	1.000000E+000	0.000000E+000	-2.000000E+000
331.4	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000
333.3	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	-1.000000E+000	1.000000E+000	1.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	-1.000000E+000	-1.000000E+000
335.2	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	-1.000000E+000	1.000000E+000	1.000000E+000	0.000000E+000	1.000000E+000	-1.000000E+000	0.000000E+000	0.000000E+000	1.000000E+000	-1.000000E+000
337.1	1.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	1.000000E+000	1.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	1.000000E+000	0.000000E+000	-1.000000E+000
339	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000
340.9	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	5.000000E-001	5.000000E-001	0.000000E+000	-5.000000E-001	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000
