Transmitance	
Time	25/07/2024 16:33:08	25/07/2024 16:34:08	25/07/2024 16:34:42	25/07/2024 16:35:07	25/07/2024 16:35:44	25/07/2024 16:36:15	25/07/2024 16:36:35	25/07/2024 16:36:59	25/07/2024 16:37:38	25/07/2024 16:38:10	25/07/2024 16:38:34	25/07/2024 16:39:20	25/07/2024 16:39:45	25/07/2024 16:40:14	25/07/2024 16:40:27	25/07/2024 16:40:44	
Name																	
GPS	55° 51.7068' N  -3° 371.9475' W	55° 51.7068' N  -3° 371.9475' W	55° 51.7068' N  -3° 371.9475' W	55° 51.7099' N  -3° 371.9500' W	55° 51.7099' N  -3° 371.9500' W	55° 51.7099' N  -3° 371.9500' W	55° 51.7099' N  -3° 371.9500' W	55° 51.7079' N  -3° 371.9466' W	55° 51.7100' N  -3° 371.9507' W	55° 51.7100' N  -3° 371.9507' W	55° 51.7100' N  -3° 371.9507' W	55° 51.7100' N  -3° 371.9507' W	55° 51.7114' N  -3° 371.9549' W	55° 51.7114' N  -3° 371.9549' W	55° 51.7114' N  -3° 371.9549' W	55° 51.7114' N  -3° 371.9549' W	
[nm]	
628.8	6.618916E-002	6.137203E-002	7.040888E-002	7.541190E-002	6.226262E-002	8.447495E-002	6.574639E-002	7.381408E-002	5.938130E-002	9.280457E-002	5.980040E-002	6.959688E-002	7.082799E-002	6.886345E-002	7.391885E-002	5.775729E-002
630.8	6.628989E-002	6.148371E-002	7.067900E-002	7.548444E-002	6.244480E-002	8.460180E-002	6.589953E-002	7.413372E-002	5.948361E-002	9.275807E-002	5.987324E-002	6.963998E-002	7.106863E-002	6.899060E-002	7.423762E-002	5.766533E-002
632.7	6.662541E-002	6.175711E-002	7.087855E-002	7.583979E-002	6.268734E-002	8.501292E-002	6.630491E-002	7.441860E-002	5.968992E-002	9.299742E-002	6.007752E-002	6.987080E-002	7.139535E-002	6.906977E-002	7.449612E-002	5.806202E-002
634.7	6.678682E-002	6.183572E-002	7.101950E-002	7.599835E-002	6.273862E-002	8.520792E-002	6.645341E-002	7.445052E-002	5.990094E-002	9.305025E-002	6.008152E-002	6.988443E-002	7.166443E-002	6.916211E-002	7.457951E-002	5.809514E-002
636.7	6.649915E-002	6.160633E-002	7.071493E-002	7.561957E-002	6.264435E-002	8.459842E-002	6.627741E-002	7.380304E-002	5.971195E-002	9.253925E-002	5.994550E-002	6.944336E-002	7.107824E-002	6.897626E-002	7.395874E-002	5.792137E-002
638.6	6.614918E-002	6.152799E-002	7.019427E-002	7.506415E-002	6.202545E-002	8.378279E-002	6.566476E-002	7.289103E-002	5.940724E-002	9.189925E-002	5.969524E-002	6.878044E-002	7.032518E-002	6.854480E-002	7.310049E-002	5.754831E-002
640.6	6.562706E-002	6.087486E-002	6.948049E-002	7.414076E-002	6.156331E-002	8.269343E-002	6.495260E-002	7.167823E-002	5.904782E-002	9.074300E-002	5.928613E-002	6.805063E-002	6.926865E-002	6.791823E-002	7.189006E-002	5.716782E-002
642.5	6.488775E-002	6.037999E-002	6.856483E-002	7.328789E-002	6.062151E-002	8.107020E-002	6.400279E-002	7.009446E-002	5.844783E-002	8.965758E-002	5.876986E-002	6.682052E-002	6.794762E-002	6.735723E-002	7.028231E-002	5.651567E-002
644.5	6.396739E-002	5.963690E-002	6.736710E-002	7.213043E-002	5.969134E-002	7.931626E-002	6.298484E-002	6.842865E-002	5.784044E-002	8.805357E-002	5.822151E-002	6.576118E-002	6.646888E-002	6.649609E-002	6.864640E-002	5.579901E-002
646.4	6.320267E-002	5.870149E-002	6.625356E-002	7.081800E-002	5.864616E-002	7.759551E-002	6.157847E-002	6.655786E-002	5.698636E-002	8.664140E-002	5.740131E-002	6.448311E-002	6.475974E-002	6.550665E-002	6.694514E-002	5.499461E-002
