Transmitance	
Time	25/07/2024 14:25:50	25/07/2024 14:26:11	25/07/2024 14:26:44	25/07/2024 14:27:27	25/07/2024 14:27:55	25/07/2024 14:28:25	25/07/2024 14:28:52	25/07/2024 14:29:17	25/07/2024 14:29:46	25/07/2024 14:30:06	25/07/2024 14:30:46	25/07/2024 14:31:14	25/07/2024 14:31:34	25/07/2024 14:31:53	25/07/2024 14:32:17	
Name																
GPS	55° 51.7070' N  -3° 371.9458' W	55° 51.7071' N  -3° 371.9502' W	55° 51.7105' N  -3° 371.9548' W	55° 51.7089' N  -3° 371.9486' W	55° 51.7101' N  -3° 371.9537' W	55° 51.7094' N  -3° 371.9506' W	55° 51.7083' N  -3° 371.9490' W	55° 51.7122' N  -3° 371.9517' W	55° 51.7095' N  -3° 371.9483' W	55° 51.7094' N  -3° 371.9496' W	55° 51.7121' N  -3° 371.9546' W	55° 51.7121' N  -3° 371.9546' W	55° 51.7121' N  -3° 371.9546' W	55° 51.7143' N  -3° 371.9564' W	55° 51.7143' N  -3° 371.9564' W	
[nm]	
323.8	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000
325.7	-1.000000E+000	1.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	1.000000E+000	0.000000E+000	0.000000E+000	-1.000000E+000	0.000000E+000	-1.000000E+000	0.000000E+000	1.000000E+000	0.000000E+000
327.6	1.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	-1.000000E+000	0.000000E+000	0.000000E+000
329.5	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000
331.4	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000
333.3	0.000000E+000	0.000000E+000	5.000000E-001	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	-5.000000E-001	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	-5.000000E-001	0.000000E+000
335.2	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000
337.1	-1.000000E+000	0.000000E+000	-1.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	1.000000E+000	1.000000E+000	1.000000E+000	0.000000E+000	-1.000000E+000	0.000000E+000	-1.000000E+000	0.000000E+000	0.000000E+000
339	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	-1.000000E+000	0.000000E+000	1.000000E+000	0.000000E+000	-1.000000E+000	0.000000E+000	1.000000E+000
340.9	1.000000E+000	0.000000E+000	-1.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	-1.000000E+000	0.000000E+000	1.000000E+000	-1.000000E+000	0.000000E+000	-1.000000E+000	0.000000E+000
