Transmitance	
Time	06/08/2024 16:02:18	06/08/2024 16:03:24	06/08/2024 16:04:16	06/08/2024 16:05:28	06/08/2024 16:05:51	06/08/2024 16:06:22	06/08/2024 16:08:07	06/08/2024 16:08:42	06/08/2024 16:09:05	06/08/2024 16:12:55	06/08/2024 16:13:25	06/08/2024 16:13:42	06/08/2024 16:14:00	06/08/2024 16:14:18	06/08/2024 16:14:31	
Name																
GPS	55° 51.7089' N  -3° 371.9495' W	55° 51.7079' N  -3° 371.9492' W	55° 51.7110' N  -3° 371.9524' W	55° 51.7074' N  -3° 371.9491' W	55° 51.7084' N  -3° 371.9507' W	55° 51.7087' N  -3° 371.9457' W	55° 51.7072' N  -3° 371.9463' W	55° 51.7115' N  -3° 371.9501' W	55° 51.7093' N  -3° 371.9479' W	55° 51.7098' N  -3° 371.9505' W	55° 51.7109' N  -3° 371.9529' W	55° 51.7109' N  -3° 371.9529' W	55° 51.7130' N  -3° 371.9547' W	55° 51.7134' N  -3° 371.9552' W	55° 51.7134' N  -3° 371.9552' W	
[nm]	
628.8	6.262179E-002	9.053563E-002	8.447885E-002	6.175278E-002	8.534787E-002	1.027809E-001	9.543372E-002	7.307632E-002	8.985095E-002	7.125928E-002	1.063096E-001	9.727708E-002	7.349766E-002	8.892927E-002	6.407015E-002
630.8	6.273188E-002	9.076658E-002	8.446988E-002	6.192193E-002	8.572399E-002	1.028113E-001	9.562627E-002	7.320897E-002	8.995663E-002	7.143230E-002	1.062601E-001	9.735068E-002	7.349637E-002	8.901604E-002	6.406438E-002
632.7	6.301975E-002	9.108628E-002	8.474532E-002	6.216216E-002	8.614865E-002	1.032484E-001	9.604990E-002	7.344075E-002	9.028067E-002	7.169958E-002	1.064709E-001	9.773909E-002	7.380457E-002	8.950104E-002	6.450104E-002
634.7	6.308551E-002	9.113793E-002	8.485792E-002	6.238484E-002	8.612949E-002	1.034125E-001	9.596471E-002	7.338783E-002	9.030751E-002	7.175295E-002	1.062670E-001	9.775529E-002	7.388089E-002	8.924354E-002	6.446088E-002
636.7	6.296499E-002	9.058397E-002	8.460595E-002	6.223406E-002	8.562404E-002	1.028533E-001	9.536116E-002	7.317201E-002	8.977471E-002	7.157961E-002	1.054899E-001	9.684914E-002	7.340695E-002	8.862610E-002	6.429634E-002
638.6	6.261030E-002	8.960885E-002	8.420914E-002	6.179376E-002	8.447254E-002	1.018833E-001	9.416568E-002	7.267220E-002	8.900303E-002	7.106546E-002	1.040959E-001	9.506124E-002	7.293560E-002	8.721191E-002	6.411168E-002
640.6	6.205556E-002	8.831598E-002	8.360189E-002	6.146962E-002	8.314912E-002	1.004608E-001	9.249740E-002	7.193651E-002	8.754361E-002	7.025861E-002	1.023517E-001	9.318987E-002	7.222947E-002	8.557275E-002	6.360029E-002
642.5	6.141677E-002	8.630743E-002	8.298688E-002	6.095783E-002	8.155607E-002	9.880676E-002	9.046488E-002	7.091950E-002	8.598348E-002	6.954268E-002	1.003726E-001	9.070785E-002	7.127045E-002	8.360780E-002	6.300956E-002
644.5	6.061436E-002	8.448776E-002	8.199639E-002	6.031320E-002	7.958714E-002	9.694464E-002	8.821114E-002	6.984066E-002	8.440563E-002	6.849915E-002	9.814926E-002	8.796474E-002	7.030608E-002	8.114768E-002	6.231178E-002
646.4	5.973347E-002	8.240826E-002	8.107281E-002	5.959436E-002	7.778983E-002	9.492808E-002	8.563559E-002	6.869210E-002	8.251954E-002	6.744011E-002	9.592967E-002	8.530173E-002	6.902596E-002	7.870795E-002	6.154189E-002
