Transmitance	
Time	06/08/2024 13:59:17	06/08/2024 13:59:52	06/08/2024 14:00:32	06/08/2024 14:00:56	06/08/2024 14:02:40	06/08/2024 14:04:30	06/08/2024 14:04:57	06/08/2024 14:05:23	06/08/2024 14:05:54	06/08/2024 14:06:15	06/08/2024 14:06:34	06/08/2024 14:06:45	06/08/2024 14:16:07	06/08/2024 14:16:23	06/08/2024 14:16:33	
Name																
GPS	55° 51.7072' N  -3° 371.9475' W	55° 51.7109' N  -3° 371.9508' W	55° 51.7125' N  -3° 371.9516' W	55° 51.7100' N  -3° 371.9487' W	55° 51.7103' N  -3° 371.9495' W	55° 51.7080' N  -3° 371.9488' W	55° 51.7080' N  -3° 371.9488' W	55° 51.7098' N  -3° 371.9504' W	55° 51.7098' N  -3° 371.9504' W	55° 51.7098' N  -3° 371.9504' W	55° 51.7108' N  -3° 371.9542' W	55° 51.7108' N  -3° 371.9542' W	55° 51.7142' N  -3° 371.9619' W	55° 51.7117' N  -3° 371.9569' W	55° 51.7117' N  -3° 371.9569' W	
[nm]	
323.8	-5.000000E-001	0.000000E+000	0.000000E+000	-5.000000E-001	0.000000E+000	-1.000000E+000	-5.000000E-001	5.000000E-001	0.000000E+000	0.000000E+000	-5.000000E-001	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000
325.7	5.000000E-001	5.000000E-001	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	5.000000E-001	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	1.000000E+000	0.000000E+000
327.6	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000
329.5	0.000000E+000	0.000000E+000	-1.666667E-001	0.000000E+000	0.000000E+000	-1.666667E-001	-1.666667E-001	0.000000E+000	0.000000E+000	-1.666667E-001	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000
331.4	-1.666667E-001	0.000000E+000	1.666667E-001	-1.666667E-001	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	-1.666667E-001	-1.666667E-001	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000
333.3	0.000000E+000	0.000000E+000	-2.000000E-001	0.000000E+000	0.000000E+000	-2.000000E-001	2.000000E-001	0.000000E+000	0.000000E+000	-2.000000E-001	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000
335.2	0.000000E+000	0.000000E+000	-1.666667E-001	0.000000E+000	0.000000E+000	-1.666667E-001	1.666667E-001	0.000000E+000	0.000000E+000	-1.666667E-001	0.000000E+000	0.000000E+000	2.000000E+000	-2.000000E+000	0.000000E+000
337.1	1.250000E-001	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	-1.250000E-001	0.000000E+000	0.000000E+000	0.000000E+000	-1.250000E-001	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000
339	0.000000E+000	-1.111111E-001	0.000000E+000	0.000000E+000	0.000000E+000	-1.111111E-001	0.000000E+000	-1.111111E-001	0.000000E+000	0.000000E+000	0.000000E+000	-1.111111E-001	0.000000E+000	0.000000E+000	0.000000E+000
340.9	0.000000E+000	-1.000000E-001	-1.000000E-001	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	-1.000000E-001	-1.000000E-001	0.000000E+000	-1.000000E-001	0.000000E+000	0.000000E+000	0.000000E+000
342.8	0.000000E+000	-8.333333E-002	-8.333333E-002	-8.333333E-002	0.000000E+000	-8.333333E-002	-8.333333E-002	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	1.000000E+000	-5.000000E-001	5.000000E-001
344.6	1.111111E-001	-1.111111E-001	-1.111111E-001	0.000000E+000	0.000000E+000	-1.111111E-001	1.111111E-001	0.000000E+000	-1.111111E-001	-1.111111E-001	0.000000E+000	0.000000E+000	1.000000E+000	-5.000000E-001	5.000000E-001
346.5	0.000000E+000	-1.111111E-001	-1.111111E-001	0.000000E+000	0.000000E+000	0.000000E+000	-1.111111E-001	0.000000E+000	1.111111E-001	-1.111111E-001	0.000000E+000	0.000000E+000	1.000000E+000	-1.000000E+000	5.000000E-001
348.4	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	-1.428571E-001	-1.428571E-001	0.000000E+000	0.000000E+000	0.000000E+000	0.000000E+000	-2.857143E-001	6.666667E-001	-6.666667E-001	3.333333E-001
350.3	0.000000E+000	-1.111111E-001	-1.111111E-001	0.000000E+000	0.000000E+000	-1.111111E-001	1.111111E-001	0.000000E+000	-1.111111E-001	-1.111111E-001	0.000000E+000	0.000000E+000	0.000000E+000	-1.000000E+000	5.000000E-001
352.2	0.000000E+000	0.000000E+000	-1.111111E-001	0.000000E+000	0.000000E+000	-1.111111E-001	-1.111111E-001	1.111111E-001	-1.111111E-001	-1.111111E-001	0.000000E+000	0.000000E+000	1.000000E+000	-1.000000E+000	5.000000E-001
354.1	0.000000E+000	1.666667E-001	-1.666667E-001	0.000000E+000	0.000000E+000	-1.666667E-001	0.000000E+000	0.000000E+000	-1.666667E-001	-1.666667E-001	-3.333333E-001	0.000000E+000	6.666667E-001	-6.666667E-001	0.000000E+000
356	0.000000E+000	0.000000E+000	-1.666667E-001	0.000000E+000	0.000000E+000	-1.666667E-001	0.000000E+000	-1.666667E-001	-1.666667E-001	-1.666667E-001	0.000000E+000	-1.666667E-001	5.000000E-001	0.000000E+000	2.500000E-001
357.9	-9.090909E-002	0.000000E+000	-9.090909E-002	0.000000E+000	0.000000E+000	-9.090909E-002	0.000000E+000	-9.090909E-002	0.000000E+000	-9.090909E-002	0.000000E+000	0.000000E+000	2.000000E-001	-2.000000E-001	2.000000E-001
359.8	0.000000E+000	-2.000000E-001	-2.000000E-001	0.000000E+000	0.000000E+000	-2.000000E-001	-2.000000E-001	0.000000E+000	-2.000000E-001	-2.000000E-001	-2.000000E-001	0.000000E+000	2.500000E-001	-5.000000E-001	2.500000E-001
361.7	-3.333333E-001	0.000000E+000	-3.333333E-001	0.000000E+000	0.000000E+000	-3.333333E-001	0.000000E+000	0.000000E+000	-3.333333E-001	-3.333333E-001	0.000000E+000	0.000000E+000	2.500000E-001	-2.500000E-001	0.000000E+000
