"","ID","week","date","time","nm","refl","rep","treatment","sensor","device"
"1","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",323.8,0,1,"control","df","VIS"
"2","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",325.7,0,1,"control","df","VIS"
"3","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",327.6,0,1,"control","df","VIS"
"4","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",329.5,0,1,"control","df","VIS"
"5","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",331.4,0,1,"control","df","VIS"
"6","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",333.3,0,1,"control","df","VIS"
"7","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",335.2,0,1,"control","df","VIS"
"8","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",337.1,1,1,"control","df","VIS"
"9","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",339,0,1,"control","df","VIS"
"10","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",340.9,0,1,"control","df","VIS"
"11","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",342.8,0,1,"control","df","VIS"
"12","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",344.6,0,1,"control","df","VIS"
"13","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",346.5,0,1,"control","df","VIS"
"14","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",348.4,0,1,"control","df","VIS"
"15","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",350.3,0,1,"control","df","VIS"
"16","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",352.2,0,1,"control","df","VIS"
"17","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",354.1,0,1,"control","df","VIS"
"18","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",356,0,1,"control","df","VIS"
"19","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",357.9,0,1,"control","df","VIS"
"20","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",359.8,0,1,"control","df","VIS"
"21","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",361.7,0,1,"control","df","VIS"
"22","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",363.6,0,1,"control","df","VIS"
"23","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",365.5,0,1,"control","df","VIS"
"24","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",367.4,0.3333333,1,"control","df","VIS"
"25","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",369.3,0,1,"control","df","VIS"
"26","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",371.1,0,1,"control","df","VIS"
"27","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",373,0,1,"control","df","VIS"
"28","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",374.9,0,1,"control","df","VIS"
"29","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",376.8,0.2,1,"control","df","VIS"
"30","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",378.7,0,1,"control","df","VIS"
"31","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",380.6,0,1,"control","df","VIS"
"32","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",382.5,0,1,"control","df","VIS"
"33","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",384.4,0,1,"control","df","VIS"
"34","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",386.3,0,1,"control","df","VIS"
"35","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",388.2,0,1,"control","df","VIS"
"36","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",390.1,0,1,"control","df","VIS"
"37","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",392,0,1,"control","df","VIS"
"38","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",393.9,0,1,"control","df","VIS"
"39","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",395.7,0,1,"control","df","VIS"
"40","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",397.6,0,1,"control","df","VIS"
"41","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",399.5,0,1,"control","df","VIS"
"42","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",401.4,0,1,"control","df","VIS"
"43","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",403.3,0,1,"control","df","VIS"
"44","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",405.2,0.00625,1,"control","df","VIS"
"45","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",407.1,0,1,"control","df","VIS"
"46","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",409,0,1,"control","df","VIS"
"47","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",410.9,0,1,"control","df","VIS"
"48","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",412.8,0.002008032,1,"control","df","VIS"
"49","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",414.7,0.00140647,1,"control","df","VIS"
"50","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",416.5,0.0008944544,1,"control","df","VIS"
"51","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",418.4,0.0006675567,1,"control","df","VIS"
"52","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",420.3,0.0005027652,1,"control","df","VIS"
"53","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",422.2,0,1,"control","df","VIS"
"54","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",424.1,0.0006618134,1,"control","df","VIS"
"55","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",426,0,1,"control","df","VIS"
"56","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",427.9,0.0002606203,1,"control","df","VIS"
"57","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",429.8,0.000242483,1,"control","df","VIS"
"58","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",431.6,0.0002220742,1,"control","df","VIS"
"59","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",433.5,0.0002070393,1,"control","df","VIS"
"60","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",435.4,0.0001949698,1,"control","df","VIS"
"61","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",437.3,0.0001851166,1,"control","df","VIS"
"62","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",439.2,0.0001760253,1,"control","df","VIS"
"63","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",441.1,0.0001689189,1,"control","df","VIS"
"64","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",443,0.0001610565,1,"control","df","VIS"
"65","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",444.9,0.0001551109,1,"control","df","VIS"
"66","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",446.7,0.0001489647,1,"control","df","VIS"
"67","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",448.6,0.0001429593,1,"control","df","VIS"
"68","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",450.5,0.000275634,1,"control","df","VIS"
"69","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",452.4,0.0002660282,1,"control","df","VIS"
"70","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",454.3,0.0001285678,1,"control","df","VIS"
"71","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",456.2,0.0001239618,1,"control","df","VIS"
"72","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",458,0.0001196029,1,"control","df","VIS"
"73","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",459.9,0.0002311871,1,"control","df","VIS"
"74","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",461.8,0.0002237887,1,"control","df","VIS"
"75","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",463.7,0.0002161461,1,"control","df","VIS"
"76","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",465.6,0.0002098636,1,"control","df","VIS"
"77","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",467.4,0.0002035623,1,"control","df","VIS"
"78","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",469.3,0.0001975309,1,"control","df","VIS"
"79","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",471.2,0.0001924557,1,"control","df","VIS"
"80","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",473.1,0.0002813467,1,"control","df","VIS"
"81","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",475,0.0001825817,1,"control","df","VIS"
"82","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",476.8,0.0001783008,1,"control","df","VIS"
"83","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",478.7,0.0001747488,1,"control","df","VIS"
"84","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",480.6,0.0002568933,1,"control","df","VIS"
"85","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",482.5,0.0002518257,1,"control","df","VIS"
"86","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",484.3,0.0002472392,1,"control","df","VIS"
"87","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",486.2,0.0002429543,1,"control","df","VIS"
"88","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",488.1,0.0002386255,1,"control","df","VIS"
"89","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",490,0.0002342469,1,"control","df","VIS"
"90","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",491.8,0.0002303263,1,"control","df","VIS"
"91","beech_pp_VIS_week2_1","week_2","19/07/2024","13:24:42",493.7,0.0002263468,1,"control","df","VIS"
